title,category,urgency,importance,effort,energy,score,done,notes,addedAt,doneAt
"Audit and optimize daily routines (cooking, laundry, etc.)","Personal","2","3","3","4","51","false","Take time to observe each recurring action and find optimizations","2026-06-02T23:00:01.101Z",""
"Design life gamification app concept (Garab AI)","Work","2","4","5","5","48","false","Dual RPG character system (al Jannah / Hell), positive & negative points separate, weekly recap like FIFA FUT with AI-generated video (Wan/LTX), app name Garab (tree + medicine in Wolof), tree branches or two characters, premium customization","2026-06-02T23:00:01.101Z",""
"Add sport tracking & progressive overload to gamification app","Work","2","3","3","4","51","false","Points awarded for workout sessions + progressive overload tracking feature","2026-06-02T23:00:01.101Z",""
"Research Runpod platform","Learning","3","3","2","3","64","false","Look into Runpod features, pricing, and use cases","2026-06-02T23:00:01.101Z",""
"Make carrot sauce recipe","Personal","2","2","2","1","54","false","","2026-06-02T23:00:01.101Z",""
"Fill in Mansa company documents on Legalplace","Admin","4","5","3","3","81","false","Legal incorporation documents for Mansa enterprise","2026-06-02T23:00:01.101Z",""
"Create and set up Obsidian vault","Personal","3","3","2","2","66","false","","2026-06-02T23:00:01.101Z",""
"Build system to sort and summarize LinkedIn, Google, Twitter bookmarks","Work","2","3","4","4","47","false","Automated bookmark triage and summarization across platforms","2026-06-02T23:00:01.101Z",""
"Find blood pressure medication prescription","Health","5","5","1","1","100","false","Locate existing ordonnance for tension medication","2026-06-02T23:00:01.101Z",""
"Contact Marc's chiropractor","Health","3","3","1","1","72","false","Get contact info from Marc and reach out","2026-06-02T23:00:01.101Z",""
"Book ENT appointment for sinus issues","Health","4","4","1","1","86","false","Rdv ORL pour problèmes de sinus","2026-06-02T23:00:01.101Z",""
"Book dermatologist appointment","Health","3","3","1","1","72","false","","2026-06-02T23:00:01.101Z",""
"Cash in Mariama's pot/kitty","Finance","4","4","1","1","86","false","Encaisser la cagnotte de Mariama","2026-06-02T23:00:01.101Z",""
"Pay micro-enterprise taxes","Finance","5","5","2","2","94","false","Impôts micro entreprise — check deadline","2026-06-02T23:00:01.101Z",""
"File personal income tax declaration","Finance","5","5","3","3","88","false","Déclaration d'impôts personnelle","2026-06-02T23:00:01.101Z",""
"Buy sport shoes","Personal","2","2","2","1","54","false","","2026-06-02T23:00:01.101Z",""
"Build personal finance app using Claude extended thinking","Work","3","4","4","5","59","false","Use plan mode with Claude, produce desired JSON output from bank statements, test different table parsing models","2026-06-02T23:00:01.101Z",""
"Reply to neurologist email","Health","5","5","1","2","98","false","","2026-06-02T23:00:01.101Z",""
"Reply to nephrologist email","Health","5","5","1","2","98","false","","2026-06-02T23:00:01.101Z",""
"Learn Transformers architecture in depth with Claude","Learning","2","4","5","5","48","false","Ask Claude for structured course per transformer version, linked explanations, math detail, numpy implementation from scratch (like backprop exercise). Include papers and resources per version.","2026-06-02T23:00:01.101Z",""